P	P (slang)_femme_(lesbian_stereotype) 
轰	轰 explosion bang boom rumble to_attack to_shoo_away to_expel 
辔	辔 bridle reins 
轹	轹 to_bully wheel-rut 
轳	轳 windlass 
踬	踬 to_stumble 
蹰	蹰 irresolute undecided 
跹	跹 to_manner_of_dancing to_walk_around 
辐	辐 spoke_of_a_wheel 
谳	谳 to_decide_judicially 
溪	溪 variant_of_溪[xi1] 
贫	贫 poor inadequate deficient garrulous 
赛	赛 to_compete competition match to_surpass better_than superior_to to_excel 
议	议 to_comment_on to_discuss to_suggest 
谴	谴 to_censure to_reprimand 
蹑	蹑 to_walk_on_tiptoe to_walk_quietly to_tread_(on) to_follow 
蹿	蹿 to_leap_up (coll.)_to_gush_out to_spurt_out 
轾	轾 back_and_lower_of_chariot short low 
𪨶	𪨶 old_variant_of_畬|畲[She1] 
辄	辄 then at_once always (archaic)_luggage_rack_on_a_chariot 
挽	挽 variant_of_挽[wan3] to_draw_(a_cart) to_lament_the_dead 
辅	辅 to_assist to_complement auxiliary 
轨	轨 course path track rail 
军	军 army military arms CL:個|个[ge4] 
赶	赶 to_overtake to_catch_up_with to_hurry to_rush to_try_to_catch_(the_bus_etc) to_drive_(cattle_etc)_forward to_drive_(sb)_away to_avail_oneself_of_(an_opportunity) until 
辗	辗 roll_over_on_side turn_half_over 
赇	赇 to_bribe 
赒	赒 to_give_to_the_needy to_bestow_alms charity 
赉	赉 to_bestow to_confer 
赞	赞 variant_of_贊|赞[zan4] 
赐	赐 to_confer to_bestow to_grant 
赏	赏 to_bestow_(a_reward) to_give_(to_an_inferior) to_hand_down a_reward_(bestowed_by_a_superior) to_appreciate_(beauty) 
护	护 to_protect 
豮	豮 gelded_pig 
贷	贷 to_lend_on_interest to_borrow a_loan leniency to_make_excuses to_pardon to_forgive 
贶	贶 to_bestow to_confer 
费	费 surname_Fei 
费	费 to_cost to_spend fee wasteful expenses 
舆	舆 carriage sedan_chair world 
辒	辒 hearse 
毂	毂 wheel 
毂	毂 hub_of_wheel 
辖	辖 to_govern to_control having_jurisdiction_over linchpin_of_a_wheel_(archaic) noise_of_a_barrow 
辕	辕 shafts_of_cart yamen 
辘	辘 windlass 
践	践 to_fulfill_(a_promise) to_tread to_walk 
赜	赜 mysterious 
贽	贽 gifts_to_superiors 
赘	赘 superfluous redundant cumbersome refers_to_a_son-in-law_living_with_wife's_family 
赟	赟 good_appearance 
躜	躜 to_jump 
躏	躏 to_trample_down to_oppress to_overrun see_蹂躪|蹂躏[rou2_lin4] 
轻	轻 light easy gentle soft reckless unimportant frivolous small_in_number unstressed neutral to_disparage 
转	转 see_轉文|转文[zhuai3_wen2] 
转	转 to_turn to_change_direction to_transfer to_forward_(mail) 
转	转 to_revolve to_turn to_circle_about to_walk_about classifier_for_revolutions_(per_minute_etc):_revs,_rpm classifier_for_repeated_actions 
赔	赔 to_compensate_for_loss to_indemnify to_suffer_a_financial_loss 
赓	赓 to_continue_(as_a_song) 
贤	贤 worthy_or_virtuous_person honorific_used_for_a_person_of_the_same_or_a_younger_generation 
狸	狸 variant_of_狸[li2] 
猊	猊 wild_beast wild_horse lion trad._form_used_erroneously_for_貌 simplified_form_used_erroneously_for_狻 
猫	猫 cat CL:隻|只[zhi1] (dialect)_to_hide_oneself (coll.)_modem 
罪	罪 variant_of_罪[zui4],_crime 
辣	辣 old_variant_of_辣[la4] 
辞	辞 old_variant_of_辭|辞[ci2] 
迹	迹 footprint mark trace vestige sign indication Taiwan_pr._[ji1] 
跺	跺 variant_of_跺[duo4] 
碰	碰 old_variant_of_碰[peng4] 
逾	逾 variant_of_逾[yu2] 
岂	岂 old_variant_of_愷|恺[kai3] old_variant_of_凱|凯[kai3] 
岂	岂 how?_(emphatic_question) 
竖	竖 to_erect vertical vertical_stroke_(in_Chinese_characters) 
贩	贩 to_deal_in to_buy_and_sell to_trade_in to_retail to_peddle 
贪	贪 to_have_a_voracious_desire_for to_covet greedy corrupt 
赠	赠 to_give_as_a_present to_repel to_bestow_an_honorary_title_after_death_(old) 
诪	诪 (literary)_to_curse to_deceive to_lie 
誉	誉 to_praise to_acclaim reputation 
读	读 comma phrase_marked_by_pause 
踊	踊 leap 
𫐄	𫐄 crossbar_for_yoking_horses 
卖	卖 to_sell to_betray to_spare_no_effort to_show_off_or_flaunt 
趁	趁 old_variant_of_趁[chen4] 
读	读 to_read to_study reading_of_word_(i.e._pronunciation),_similar_to_拼音[pin1_yin1] 
䝙	䝙 (archaic)_animal_resembling_a_tiger 
獾	獾 variant_of_獾[huan1] 
贝	贝 surname_Bei 
贝	贝 cowrie shellfish currency_(archaic) 
贴	贴 to_stick to_paste to_post_(e.g._on_a_blog) to_keep_close_to to_fit_snugly to_subsidize allowance_(e.g._money_for_food_or_housing) sticker classifier_for_sticking_plaster:_strip 
赵	赵 surname_Zhao one_of_the_seven_states_during_the_Warring_States_Period_(476-220_BC) the_Former_Zhao_前趙_(304-329)_and_Later_Zhao_後趙_(319-350),_states_of_the_Sixteen_Kingdoms 
赵	赵 to_surpass_(old) 
觊	觊 to_covet to_long_for 
觏	觏 complete meet_unexpectedly see 
觐	觐 (history)_to_have_an_audience_with_the_Emperor 
觑	觑 to_spy watch_for 
觉	觉 a_nap a_sleep CL:場|场[chang2] 
觉	觉 to_feel to_find_that thinking awake aware 
览	览 to_look_at to_view to_read 
诧	诧 to_be_surprised to_be_astonished 
诟	诟 disgrace to_revile 
诡	诡 sly crafty weird bizarre contradictory inconsistent 
诠	诠 to_explain to_comment to_annotate 
诒	诒 (archaic)_to_present to_bequeath variant_of_貽|贻[yi2] 
诏	诏 imperial_order 
谖	谖 to_deceive to_forget 
诺	诺 to_consent to_promise (literary)_yes! 
装	装 adornment to_adorn dress clothing costume_(of_an_actor_in_a_play) to_play_a_role to_pretend to_install to_fix to_wrap_(sth_in_a_bag) to_load to_pack 
𬣙	𬣙 to_boast great large 
讦	讦 to_accuse to_pry 
讱	讱 (literary)_slow_in_speech 
训	训 to_teach to_train to_admonish instruction_(from_superiors) teachings rule 
谋	谋 to_plan to_seek scheme 
货	货 goods money commodity CL:個|个[ge4] 
评	评 to_discuss to_comment to_criticize to_judge to_choose_(by_public_appraisal) 
觌	觌 face_to_face 
观	观 surname_Guan 
观	观 to_look_at to_watch to_observe to_behold to_advise concept point_of_view outlook 
观	观 Taoist_monastery palace_gate_watchtower platform 
冲	冲 thoroughfare to_go_straight_ahead to_rush to_clash 
冲	冲 powerful vigorous pungent towards in_view_of 
诘	诘 to_investigate to_restrain to_scold 
话	话 dialect language spoken_words speech talk words conversation what_sb_said CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1] 
谄	谄 to_flatter to_cajole 
谆	谆 repeatedly_(in_giving_advice) sincere earnest untiring 
谈	谈 surname_Tan 
谈	谈 to_speak to_talk to_converse to_chat to_discuss 
诚	诚 sincere authentic really truly 
诫	诫 commandment to_prohibit 
诬	诬 to_accuse_falsely 
觞	觞 feast goblet 
觯	觯 goblet 
讹	讹 variant_of_訛|讹[e2] 
谲	谲 deceitful 
讥	讥 to_ridicule 
撰	撰 variant_of_撰[zhuan4] 
谮	谮 to_slander 
识	识 to_know knowledge Taiwan_pr._[shi4] 
识	识 to_record to_write_a_footnote 
讪	讪 to_mock to_ridicule to_slander 
讫	讫 finished 
托	托 to_trust to_entrust to_be_entrusted_with to_act_as_trustee 
讬	讬 variant_of_託|托[tuo1] 
记	记 to_record to_note to_memorize to_remember mark sign classifier_for_blows,_kicks,_shots 
谒	谒 to_visit_(a_superior) 
赞	赞 to_patronize to_support to_praise (Internet_slang)_to_like_(an_online_post_on_Facebook_etc) 
诐	诐 unfair to_flatter 
诇	诇 (literary)_to_spy to_pry_into 
诎	诎 to_bend to_yield to_exhaust to_stutter 
诅	诅 curse swear_(oath) 
𬣞	𬣞 wisdom 
词	词 word statement speech lyrics CL:組|组[zu3],個|个[ge4] a_form_of_lyric_poetry,_flourishing_in_the_Song_dynasty_宋朝|宋朝[Song4_chao2] CL:首[shou3] 
触	触 to_touch to_make_contact_with_sth to_stir_up_sb's_emotions 
衮	衮 imperial_robe 
帙	帙 variant_of_帙[zhi4] variant_of_秩[zhi4] (classifier)_ten_years 
袆	袆 a_queen's_ceremonial_gowns 
袅	袅 variant_of_裊|袅[niao3] 
裙	裙 old_variant_of_裙[qun2] 
里	里 lining interior inside internal also_written_裏|里[li3] 
该	该 should ought_to probably must_be to_deserve to_owe to_be_sb's_turn_to_do_sth that the_above-mentioned 
详	详 detailed comprehensive 
诜	诜 to_inform to_inquire 
酬	酬 old_variant_of_酬[chou2] 
诿	诿 to_shirk to_give_excuses 
请	请 to_ask to_invite please_(do_sth) to_treat_(to_a_meal_etc) to_request 
误	误 mistake error to_miss to_harm to_delay to_neglect mistakenly 
誊	誊 to_transcribe to_copy_out (free_word) 
诌	诌 to_make_up_(a_story) Taiwan_pr._[zou1] 
谎	谎 lies to_lie 
歌	歌 variant_of_歌[ge1] 
谜	谜 see_謎兒|谜儿[mei4_r5],_riddle 
谜	谜 riddle 
觃	觃 (used_in_place_names) 
规	规 compass a_rule regulation to_admonish to_plan to_scheme 
轵	轵 end_of_axle_outside_of_hub 
轺	轺 light_carriage 
轲	轲 given_name_of_Mencius 
轲	轲 see_轗軻|轗轲[kan3_ke3] 
轶	轶 to_excel to_surpass to_be_scattered variant_of_逸[yi4],_leisurely 
轼	轼 crossbar_in_carriage_front 
较	较 to_compare to_dispute compared_to (before_adj.)_relatively comparatively rather also_pr._[jiao3] 
𫍽	𫍽 usually_used_in_a_name clever intelligent 
噪	噪 variant_of_噪[zao4] 
𫍲	𫍲 to_induce 
𫍲	𫍲 small 
谧	谧 quiet 
谑	谑 joy to_joke to_banter to_tease to_mock Taiwan_pr._[nu:e4] 
谡	谡 composed rise to_begin 
谤	谤 to_slander to_defame to_speak_ill_of 
谦	谦 modest 
谓	谓 surname_Wei 
谓	谓 to_speak to_say to_name to_designate meaning sense 
赝	赝 variant_of_贗|赝[yan4] 
赡	赡 to_support to_provide_for 
赢	赢 to_beat to_win to_profit 
赆	赆 farewell_presents 
赣	赣 variant_of_贛|赣[Gan4] 
赃	赃 stolen_goods booty spoils 
赑	赑 see_贔屭|赑屃[Bi4_xi4] 
赎	赎 to_redeem to_ransom 
裤	裤 underpants trousers pants 
裢	裢 pouch_hung_from_belt 
褛	褛 soiled tattered 
亵	亵 obscene disrespectful 
诙	诙 whimsical humorous 
诖	诖 to_deceive to_disturb 
诔	诔 to_eulogize_the_dead eulogy 
诛	诛 to_put_(a_criminal)_to_death to_punish 
诓	诓 to_mislead to_swindle 
夸	夸 to_boast to_exaggerate to_praise 
觅	觅 to_seek to_find 
谥	谥 smiling_face 
讲	讲 to_speak to_explain to_negotiate to_emphasise to_be_particular_about as_far_as_sth_is_concerned speech lecture 
赝	赝 false 
赣	赣 abbr._for_Jiangxi_Province_江西省[Jiang1_xi1_Sheng3] Gan_River_in_Jiangxi_Province_江西省[Jiang1_xi1_Sheng3] 
赃	赃 variant_of_贓|赃[zang1] 
讹	讹 error false to_extort 
讶	讶 astounded 
讼	讼 litigation 
䜣	䜣 pleased delighted happy variant_of_欣 
诀	诀 farewell secrets_(of_an_art) 
讷	讷 to_speak_slowly inarticulate 
访	访 to_visit to_call_on to_seek to_inquire to_investigate 
裤	裤 variant_of_褲|裤[ku4] 
衽	衽 variant_of_衽[ren4] 
褒	褒 variant_of_褒[bao1] 
裥	裥 folds 
杂	杂 variant_of_雜|杂[za2] 
袯	袯 see_襏襫|袯襫[bo2_shi4] 
袄	袄 coat jacket short_and_lined_coat_or_robe 
裣	裣 see_襝衽|裣衽[lian3_ren4] 
谁	谁 who also_pr._[shui2] 
课	课 subject course CL:門|门[men2] class lesson CL:堂[tang2],節|节[jie2] to_levy tax form_of_divination 
志	志 sign mark to_record to_write_a_footnote 
认	认 to_recognize to_know to_admit 
诹	诹 to_choose to_consult 
愆	愆 old_variant_of_愆[qian1] 
诼	诼 to_complain 
谅	谅 to_show_understanding to_excuse to_presume to_expect 
论	论 abbr._for_論語|论语[Lun2_yu3],_The_Analects_(of_Confucius) 
论	论 opinion view theory doctrine to_discuss to_talk_about to_regard to_consider per by_the_(kilometer,_hour_etc) 
粗	粗 variant_of_粗[cu1] 
觅	觅 old_variant_of_覓|觅[mi4] 
视	视 to_look_at to_regard to_inspect 
谢	谢 surname_Xie 
谢	谢 to_thank to_apologize to_wither_(of_flowers,_leaves_etc) to_decline 
诤	诤 to_admonish to_warn_sb_of_their_errors to_criticize_frankly Taiwan_pr._[zheng1] 
讠	讠 "speech"_or_"words"_radical_in_Chinese_characters_(Kangxi_radical_149) see_also_言字旁[yan2_zi4_pang2] 
订	订 to_agree to_conclude to_draw_up to_subscribe_to_(a_newspaper_etc) to_order 
设	设 to_set_up to_arrange to_establish to_found to_display 
制	制 to_manufacture to_make 
袅	袅 delicate graceful 
裆	裆 crotch seat_of_a_pair_of_trousers 
袒	袒 old_variant_of_袒[tan3] 
褴	褴 ragged_garments 
袜	袜 socks stockings 
䙓	䙓 hem_at_the_bottom_of_garment 
衬	衬 (of_garments)_against_the_skin to_line lining to_contrast_with to_assist_financially 
咏	咏 to_sing 
诩	诩 to_brag popular lovely 
询	询 to_ask_about to_inquire_about 
诣	诣 to_go_(to_visit_a_superior) one's_current_attainment_in_learning_or_art 
试	试 to_test to_try experiment examination test 
谇	谇 abuse 
诽	诽 slander 
谊	谊 friendship also_pr._[yi2] 
訚	訚 surname_Yin 
訚	訚 respectful to_speak_gently 
调	调 to_transfer to_move_(troops_or_cadres) to_investigate to_enquire_into accent view argument key_(in_music) mode_(music) tune tone melody 
调	调 to_harmonize to_reconcile to_blend to_suit_well to_adjust to_regulate to_season_(food) to_provoke to_incite 
谂	谂 to_know to_reprimand to_urge to_long_for to_tell to_inform 
话	话 old_variant_of_話|话[hua4] 
谀	谀 to_flatter 
谍	谍 to_spy 
谞	谞 (literary)_ability_and_wisdom scheme stratagem 
谝	谝 to_brag 
𬤊	𬤊 to_examine to_judge 
喧	喧 variant_of_喧[xuan1] old_variant_of_諼|谖[xuan1] 
谥	谥 posthumous_name_or_title to_confer_a_posthumous_title 
诨	诨 jest nickname 
谔	谔 honest_speech 
谛	谛 to_examine truth_(Buddhism) 
谐	谐 harmonious 
觇	觇 to_observe to_spy_on Taiwan_pr._[zhan1] 
觋	觋 wizard 
觍	觍 shameful shameless 
觎	觎 to_desire_passionately 
睹	睹 old_variant_of_睹[du3] 
谣	谣 popular_ballad rumor 
谟	谟 plan to_practice 
谟	谟 old_variant_of_謨|谟[mo2] 
谪	谪 to_relegate_a_high_official_to_a_minor_post_in_an_outlying_region_(punishment_in_imperial_China) to_banish_or_exile (of_immortals)_to_banish_from_Heaven to_censure to_blame 
谬	谬 to_deceive to_confuse to_cheat absurd erroneous 
谏	谏 surname_Jian 
谏	谏 to_remonstrate to_admonish 
讣	讣 to_report_a_bereavement obituary 
计	计 surname_Ji 
计	计 to_calculate to_compute to_count to_regard_as_important to_plan ruse meter gauge 
许	许 surname_Xu 
许	许 to_allow to_permit to_promise to_praise somewhat perhaps 
复	复 to_repeat to_double to_overlap complex_(not_simple) compound composite double diplo- duplicate overlapping to_duplicate 
夹	夹 variant_of_夾|夹[jia2] 
里	里 variant_of_裡|里[li3] 
袭	袭 to_attack to_inherit classifier_for_suits_(esp._of_funeral_robes) 
襕	襕 full_length_gown_(old) 
谫	谫 shallow superficial 
讴	讴 to_sing ballad folk_song 
诳	诳 to_deceive lies 
诶	诶 hey_(to_call_sb) 
诶	诶 hey_(to_express_surprise) 
诶	诶 hey_(to_express_disagreement) 
诶	诶 hey_(to_express_agreement) 
诶	诶 sigh_(to_express_regret) 
诞	诞 birth birthday brag boast to_increase 
悖	悖 old_variant_of_悖[bei4] 
诱	诱 to_entice to_tempt 
谕	谕 order_(from_above) 
谘	谘 variant_of_咨[zi1] 
讳	讳 to_avoid_mentioning taboo_word name_of_deceased_emperor_or_superior 
谙	谙 to_be_versed_in to_know_well 
𫍯	𫍯 to_bring_into_accord sincerity 
亲	亲 parent one's_own_(flesh_and_blood) relative related marriage bride close intimate in_person first-hand in_favor_of pro- to_kiss (Internet_slang)_dear 
亲	亲 parents-in-law_of_one's_offspring 
术	术 method technique 
术	术 various_genera_of_flowers_of_Asteracea_family_(daisies_and_chrysanthemums),_including_Atractylis_lancea 
同	同 see_衚衕|胡同[hu2_tong4] 
弄	弄 variant_of_弄[long4] 
谨	谨 cautious careful solemnly sincerely_(formal) 
谩	谩 to_deceive 
谩	谩 to_slander to_be_disrespectful to_slight 
哗	哗 variant_of_嘩|哗[hua2] 
嘻	嘻 (interjection_expressing_surprise,_grief_etc) variant_of_嘻[xi1] 
证	证 certificate proof to_prove to_demonstrate to_confirm variant_of_症[zheng4] 
谌	谌 surname_Chen 
谌	谌 faithful sincere 
讽	讽 to_satirize to_mock to_recite Taiwan_pr._[feng4] 
诸	诸 surname_Zhu 
诸	诸 all various 
讯	讯 to_question to_ask to_interrogate rapid speedy fast news information 
讧	讧 strife disorder rioting fighting 
讨	讨 to_invite to_provoke to_demand_or_ask_for to_send_armed_forces_to_suppress to_denounce_or_condemn to_marry_(a_woman) to_discuss_or_study 
诉	诉 to_complain to_sue to_tell 
诃	诃 to_scold 
复	复 variant_of_復|复[fu4] to_reply_to_a_letter 
补	补 to_repair to_patch to_mend to_make_up_for to_fill_(a_vacancy) to_supplement 
察	察 variant_of_察[cha2] 
诗	诗 abbr._for_Shijing_詩經|诗经[Shi1_jing1],_the_Book_of_Songs 
诗	诗 poem CL:首[shou3] poetry verse 
谯	谯 surname_Qiao 
谯	谯 drum_tower 
谯	谯 ridicule to_blame 
诊	诊 to_examine_or_treat_medically 
注	注 to_register to_annotate note comment 
诮	诮 ridicule to_blame 
语	语 dialect language speech 
语	语 to_tell_to 
霸	霸 variant_of_霸[ba4] 
核	核 variant_of_核[he2] to_investigate 
羁	羁 variant_of_羈|羁[ji1] 
见	见 to_see to_meet to_appear_(to_be_sth) to_interview 
见	见 to_appear also_written_現|现[xian4] 
衔	衔 variant_of_銜|衔[xian2] 
胡	胡 see_衚衕|胡同[hu2_tong4] 
卫	卫 surname_Wei vassal_state_during_the_Zhou_Dynasty_(1066-221_BC),_located_in_present_day_Henan_and_Hebei_Provinces 
卫	卫 to_guard to_protect to_defend abbr._for_衛生|卫生,_hygiene health abbr._for_衛生間|卫生间,_toilet 
谭	谭 surname_Tan 
谭	谭 variant_of_談|谈[tan2] 
谱	谱 chart list table register score_(music) spectrum_(physics) to_set_to_music 
谚	谚 proverb 
说	说 to_persuade 
说	说 to_speak to_say to_explain to_scold to_tell_off a_theory_(typically_the_last_character_in_a_compound,_as_in_日心說|日心说_heliocentric_theory) 
证	证 to_admonish variant_of_證|证[zheng4] 
诂	诂 to_comment to_explain 
诋	诋 to_defame to_slander 
讵	讵 how_(interj._of_surprise) 
诈	诈 to_cheat to_swindle to_pretend to_feign to_draw_sb_out to_try_to_extract_information_by_deceit_or_bluff 
只	只 variant_of_只[zhi3] 
邪	邪 old_variant_of_邪[xie2] 
裈	裈 pants_(old) 
铚	铚 sickle 
铣	铣 to_mill_(machining) Taiwan_pr._[xian3] 
铣	铣 shining_metal (old)_the_16th_of_the_month_(abbreviation_used_in_telegrams) 
铨	铨 to_estimate to_select 
阙	阙 surname_Que 
阙	阙 used_in_place_of_缺_(old) mistake 
阙	阙 Imperial_city_watchtower_(old) fault deficiency 
闯	闯 to_rush to_charge to_dash to_break_through to_temper_oneself_(through_battling_hardships) 
窥	窥 variant_of_窺|窥[kui1] 
闲	闲 to_stay_idle to_be_unoccupied not_busy leisure enclosure 
铢	铢 twenty-fourth_part_of_a_tael_(2_or_3_grams) 
铭	铭 to_engrave inscribed_motto 
锤	锤 hammer to_hammer_into_shape weight_(e.g._of_a_steelyard_or_balance) 
锱	锱 ancient_weight one-eighth_of_a_tael 
铮	铮 clang_of_metals small_gong 
锛	锛 adz adze 
𬭚	𬭚 copper_drum 
锬	锬 long_spear 
锭	锭 (weaving)_spindle ingot pressed_cake_of_medicine_etc classifier_for:_gold_and_silver_ingots,_ink_sticks 
锜	锜 three_legged_cauldron_(old) woodworking_chisel_(old) 
钱	钱 surname_Qian 
䩄	䩄 variant_of_靦|腼[mian3] 
关	关 surname_Guan 
铌	铌 niobium_(chemistry) 
铈	铈 cerium_(chemistry) 
钶	钶 columbium 
铃	铃 (small)_bell CL:隻|只[zhi1] 
钴	钴 cobalt_(chemistry) Taiwan_pr._[gu1] 
钹	钹 cymbals 
铍	铍 beryllium_(chemistry) 
钰	钰 treasure hard_metal 
钸	钸 metal_plate 
钸	钸 plutonium_(chemistry)_(Tw) 
铀	铀 uranium_(chemistry) Taiwan_pr._[you4] 
钿	钿 to_inlay_with_gold,_silver_etc ancient_inlaid_ornament_shaped_as_a_flower 
钿	钿 (dialect)_money coin 
钾	钾 potassium_(chemistry) 
钜	钜 hard_iron hook variant_of_巨[ju4] variant_of_詎|讵[ju4] 
铊	铊 thallium_(chemistry) 
铉	铉 stick-like_implement_inserted_into_the_handles_of_a_tripod_cauldron_in_ancient_times_in_order_to_lift_the_cauldron commonly_used_in_Korean_names,_transcribed_as_"hyun" 
𬬿	𬬿 sickle 
铇	铇 variant_of_刨[bao4] 
铋	铋 bismuth_(chemistry) 
铫	铫 surname_Yao 
铫	铫 pan_with_a_long_handle 
铫	铫 weeding_tool 
铦	铦 fish-spear sharp 
衔	衔 bit_(of_a_bridle) to_hold_in_the_mouth to_harbor_(feelings) to_link to_accept rank title 
铑	铑 rhodium_(chemistry) 
铷	铷 rubidium_(chemistry) 
铱	铱 iridium_(chemistry) 
铟	铟 indium_(chemistry) 
铵	铵 ammonium 
铥	铥 thulium_(chemistry) 
铕	铕 europium_(chemistry) 
铯	铯 cesium_(chemistry) 
铐	铐 shackles fetters manacle 
焊	焊 variant_of_焊[han4] 
锐	锐 acute 
关	关 mountain_pass to_close to_shut to_turn_off to_concern to_involve 
间	间 between among within_a_definite_time_or_space room section_of_a_room_or_lateral_space_between_two_pairs_of_pillars classifier_for_rooms 
间	间 gap to_separate to_thin_out_(seedlings) to_sow_discontent 
镒	镒 ancient_unit_of_weight_equal_to_20_or_24_liang_兩|两[liang3] 
镋	镋 old_variant_of_钂|镋[tang3] 
镍	镍 nickel_(chemistry) 
镓	镓 gallium_(chemistry) 
锁	锁 old_variant_of_鎖|锁[suo3] 
镎	镎 neptunium_(chemistry) 
镞	镞 arrowhead sharp 
镟	镟 to_shape_on_a_lathe to_peel_with_a_knife to_turn_in_(a_screw) 
销	销 to_melt_(metal) to_cancel_or_annul to_sell to_spend to_fasten_with_a_bolt bolt_or_pin 
𫓹	𫓹 hoe 
锦	锦 brocade embroidered_work bright 
钱	钱 coin money CL:筆|笔[bi3] unit_of_weight,_one_tenth_of_a_tael_兩|两[liang3] 
陆	陆 surname_Lu 
陆	陆 six_(banker's_anti-fraud_numeral) 
陆	陆 shore land continent 
峭	峭 variant_of_峭[qiao4] 
陉	陉 border_the_stove defile pass 
铂	铂 platinum_(chemistry) 
钷	钷 promethium_(chemistry) 
钳	钳 pincers pliers tongs claw_(of_animal) to_grasp_with_pincers to_pinch to_clamp to_restrain to_restrict to_gag 
铆	铆 to_fasten_with_rivets (coll.)_to_exert_one's_strength 
铅	铅 lead_(chemistry) 
锈	锈 to_corrode to_rust 
锑	锑 antimony_(chemistry) 
锉	锉 file_(tool_used_for_smoothing) rasp to_file 
汞	汞 variant_of_汞[gong3] 
汞	汞 sound_of_a_bell 
铝	铝 aluminum_(chemistry) 
锒	锒 chain ornament 
锚	锚 anchor 
锠	锠 metal_utensil mounting fitting 
锡	锡 tin_(chemistry) to_bestow to_confer to_grant Taiwan_pr._[xi2] 
镮	镮 (ancient_weight) metal_ring 
铎	铎 surname_Duo 
陕	陕 abbr._for_Shaanxi_陝西|陕西_province 
闩	闩 bolt latch to_bolt to_latch 
闪	闪 surname_Shan 
闪	闪 to_dodge to_duck_out_of_the_way to_beat_it shaken_(by_a_fall) to_sprain to_pull_a_muscle lightning spark a_flash to_flash_(across_one's_mind) to_leave_behind (Internet_slang)_(of_a_display_of_affection)_"dazzlingly"_saccharine 
闵	闵 surname_Min 
闵	闵 old_variant_of_憫|悯[min3] 
闸	闸 gear brake sluice lock_(on_waterway) electric_switch_or_circuit_breaker 
链	链 chain cable_(unit_of_length:_100_fathoms,_about_185_m) chain_(unit_of_length:_66_feet,_about_20_m) to_chain to_enchain 
镆	镆 sword moscovium_(chemistry) 
镠	镠 fine_gold 
镝	镝 dysprosium_(chemistry) 
镝	镝 arrow_or_arrowhead_(old) 
铿	铿 (onom.)_clang jingling_of_metals to_strike 
锵	锵 tinkling_of_small_bells 
镗	镗 noise_of_drums 
镘	镘 side_of_coin_without_words trowel 
镛	镛 large_bell 
铲	铲 to_shovel to_remove spade shovel 
铎	铎 large_ancient_bell 
铛	铛 frying_pan griddle 
铛	铛 clank clang sound_of_metal 
𫟼	𫟼 darmstadtium_(chemistry) 
镱	镱 ytterbium_(chemistry) 
铸	铸 to_cast_or_found_metals 
镬	镬 wok_(dialect) cauldron_(old) 
镔	镔 fine_steel 
鉴	鉴 example mirror to_view reflection to_reflect to_inspect to_warn (ancient_bronze_mirror) 
锌	锌 zinc_(chemistry) 
钡	钡 barium_(chemistry) 
铤	铤 ingot 
铤	铤 big_arrow walk_fast 
闹	闹 variant_of_鬧|闹[nao4] 
阂	阂 obstruct 
合	合 variant_of_合[he2] 
升	升 variant_of_升[sheng1] 
钺	钺 battle-ax 
钵	钵 variant_of_缽|钵[bo1] 
钩	钩 to_hook to_sew to_crochet hook check_mark_or_tick window_catch 
𬬸	𬬸 acmite 
钲	钲 gong_used_to_halt_troops 
𬭁	𬭁 see_鈷鉧|钴𬭁[gu3_mu3] 
钼	钼 molybdenum_(chemistry) 
钽	钽 tantalum_(chemistry) 
铏	铏 soup_cauldron (arch.)_sacrificial_tripod_with_two_handles_and_a_lid old_variant_of_硎[xing2] 
铰	铰 scissors to_cut_(with_scissors) 
雏	雏 chick young_bird 
阁	阁 pavilion_(usu._two-storied) cabinet_(politics) boudoir woman's_chamber rack shelf 
闫	闫 variant_of_閻|阎[Yan2] surname_Yan 
阀	阀 powerful_individual,_family_or_group clique (loanword)_valve 
哄	哄 variant_of_鬨|哄[hong4] 
闺	闺 small_arched_door boudoir lady's_chamber by_ext._women 
杂	杂 mixed miscellaneous various to_mix 
镜	镜 mirror lens 
镖	镖 throwing_weapon dart goods_sent_under_the_protection_of_an_armed_escort 
镂	镂 to_engrave to_carve hard_steel 
錾	錾 to_engrave 
镚	镚 small_coin dime 
铧	铧 plowshare spade 
镤	镤 protactinium_(chemistry) 
闰	闰 intercalary an_extra_day_or_month_inserted_into_the_lunar_or_solar_calendar_(such_as_February_29) 
铒	铒 erbium_(chemistry) 
铬	铬 chromium_(chemistry) 
铪	铪 hafnium_(chemistry) 
银	银 silver silver-colored relating_to_money_or_currency 
违	违 to_disobey to_violate to_separate to_go_against 
阵	阵 disposition_of_troops wave spate burst spell short_period_of_time classifier_for_events_or_states_of_short_duration 
闽	闽 short_name_for_Fujian_province_福建[Fu2_jian4] also_pr._[Min2] 
闬	闬 gate_of_a_village 
闭	闭 to_close to_stop_up to_shut to_obstruct 
镪	镪 sulfuric_acid 
镪	镪 money string_of_coins 
𬭸	𬭸 phosphonium 
铙	铙 big_cymbals 
𫔍	𫔍 vanadium 
镣	镣 fetters leg-irons shackles 
铹	铹 lawrencium_(chemistry) 
镦	镦 upsetting_(forged_pieces) 
镡	镡 surname_Tan 
镡	镡 guard_(on_a_sword_handle) pommel_(on_a_sword_handle) dagger Taiwan_pr._[tan2] 
